n	n:500	L50	min	N75	N50	N25	E-size	max	sum	name
171	57	7	504	134380	215483	361033	237400	419448	4326943	Cbotulinum-unitigs.fa
103	32	5	504	262692	318677	641085	392189	680726	4343977	Cbotulinum-contigs.fa
84	24	3	504	279582	550697	1095206	586143	1095206	4344861	Cbotulinum-scaffolds.fa
